raceId,year,round,circuitId,name,date,time,url,Circuit Location,Circuit Country,PRCP,TAVG,TMAX,TMIN
86,2005,16,13,Belgian Grand Prix,9/11/2005,14:00:00,http://en.wikipedia.org/wiki/2005_Belgian_Grand_Prix,Spa,Belgium,1.38,65,70,61
103,2004,14,13,Belgian Grand Prix,8/29/2004,,http://en.wikipedia.org/wiki/2004_Belgian_Grand_Prix,Spa,Belgium,0,61,67,55
137,2002,14,13,Belgian Grand Prix,9/1/2002,,http://en.wikipedia.org/wiki/2002_Belgian_Grand_Prix,Spa,Belgium,0,60,67,54
154,2001,14,13,Belgian Grand Prix,9/2/2001,,http://en.wikipedia.org/wiki/2001_Belgian_Grand_Prix,Spa,Belgium,0,58,62,51
170,2000,13,13,Belgian Grand Prix,8/27/2000,,http://en.wikipedia.org/wiki/2000_Belgian_Grand_Prix,Spa,Belgium,0.04,63,72,57
186,1999,12,13,Belgian Grand Prix,8/29/1999,,http://en.wikipedia.org/wiki/1999_Belgian_Grand_Prix,Spa,Belgium,0,65,73,55
203,1998,13,13,Belgian Grand Prix,8/30/1998,,http://en.wikipedia.org/wiki/1998_Belgian_Grand_Prix,Spa,Belgium,0.03,58,63,50
218,1997,12,13,Belgian Grand Prix,8/24/1997,,http://en.wikipedia.org/wiki/1997_Belgian_Grand_Prix,Spa,Belgium,0.09,77,85,66
236,1996,13,13,Belgian Grand Prix,8/25/1996,,http://en.wikipedia.org/wiki/1996_Belgian_Grand_Prix,Spa,Belgium,0.17,58,68,54
250,1995,11,13,Belgian Grand Prix,8/27/1995,,http://en.wikipedia.org/wiki/1995_Belgian_Grand_Prix,Spa,Belgium,0.19,61,67,59
267,1994,11,13,Belgian Grand Prix,8/28/1994,,http://en.wikipedia.org/wiki/1994_Belgian_Grand_Prix,Spa,Belgium,0,59,67,53
284,1993,12,13,Belgian Grand Prix,8/29/1993,,http://en.wikipedia.org/wiki/1993_Belgian_Grand_Prix,Spa,Belgium,0,56,67,44
300,1992,12,13,Belgian Grand Prix,8/30/1992,,http://en.wikipedia.org/wiki/1992_Belgian_Grand_Prix,Spa,Belgium,0.5,57,65,53
315,1991,11,13,Belgian Grand Prix,8/25/1991,,http://en.wikipedia.org/wiki/1991_Belgian_Grand_Prix,Spa,Belgium,0,64,75,53
331,1990,11,13,Belgian Grand Prix,8/26/1990,,http://en.wikipedia.org/wiki/1990_Belgian_Grand_Prix,Spa,Belgium,0,68,78,57
349,2010,13,13,Belgian Grand Prix,8/29/2010,12:00:00,http://en.wikipedia.org/wiki/2010_Belgian_Grand_Prix,Spa,Belgium,0.24,56,64,50
366,1989,11,13,Belgian Grand Prix,8/27/1989,,http://en.wikipedia.org/wiki/1989_Belgian_Grand_Prix,Spa,Belgium,0.2,57,61,55
382,1988,11,13,Belgian Grand Prix,8/28/1988,,http://en.wikipedia.org/wiki/1988_Belgian_Grand_Prix,Spa,Belgium,0.19,68,80,62
390,1987,3,13,Belgian Grand Prix,5/17/1987,,http://en.wikipedia.org/wiki/1987_Belgian_Grand_Prix,Spa,Belgium,0.15,49,58,38
408,1986,5,13,Belgian Grand Prix,5/25/1986,,http://en.wikipedia.org/wiki/1986_Belgian_Grand_Prix,Spa,Belgium,0,59,71,46
432,1985,13,13,Belgian Grand Prix,9/15/1985,,http://en.wikipedia.org/wiki/1985_Belgian_Grand_Prix,Spa,Belgium,0.01,56,63,48
457,1983,6,13,Belgian Grand Prix,5/22/1983,,http://en.wikipedia.org/wiki/1983_Belgian_Grand_Prix,Spa,Belgium,0.01,50,59,43
646,1970,4,13,Belgian Grand Prix,6/7/1970,,http://en.wikipedia.org/wiki/1970_Belgian_Grand_Prix,Spa,Belgium,0.01,70,79,61
670,1968,4,13,Belgian Grand Prix,6/9/1968,,http://en.wikipedia.org/wiki/1968_Belgian_Grand_Prix,Spa,Belgium,0,58,66,49
682,1967,4,13,Belgian Grand Prix,6/18/1967,,http://en.wikipedia.org/wiki/1967_Belgian_Grand_Prix,Spa,Belgium,0,57,65,49
691,1966,2,13,Belgian Grand Prix,6/12/1966,,http://en.wikipedia.org/wiki/1966_Belgian_Grand_Prix,Spa,Belgium,0.01,66,74,58
701,1965,3,13,Belgian Grand Prix,6/13/1965,,http://en.wikipedia.org/wiki/1965_Belgian_Grand_Prix,Spa,Belgium,0.19,64,72,55
711,1964,3,13,Belgian Grand Prix,6/14/1964,,http://en.wikipedia.org/wiki/1964_Belgian_Grand_Prix,Spa,Belgium,0.2,62,71,53
720,1963,2,13,Belgian Grand Prix,6/9/1963,,http://en.wikipedia.org/wiki/1963_Belgian_Grand_Prix,Spa,Belgium,0,69,82,56
731,1962,3,13,Belgian Grand Prix,6/17/1962,,http://en.wikipedia.org/wiki/1962_Belgian_Grand_Prix,Spa,Belgium,0,62,74,49
740,1961,3,13,Belgian Grand Prix,6/18/1961,,http://en.wikipedia.org/wiki/1961_Belgian_Grand_Prix,Spa,Belgium,0.02,63,69,57
750,1960,5,13,Belgian Grand Prix,6/19/1960,,http://en.wikipedia.org/wiki/1960_Belgian_Grand_Prix,Spa,Belgium,0,68,75,60
769,1958,5,13,Belgian Grand Prix,6/15/1958,,http://en.wikipedia.org/wiki/1958_Belgian_Grand_Prix,Spa,Belgium,0,64,77,50
787,1956,4,13,Belgian Grand Prix,6/3/1956,,http://en.wikipedia.org/wiki/1956_Belgian_Grand_Prix,Spa,Belgium,0,60,66,53
795,1955,4,13,Belgian Grand Prix,6/5/1955,,http://en.wikipedia.org/wiki/1955_Belgian_Grand_Prix,Spa,Belgium,0,61,74,47
801,1954,3,13,Belgian Grand Prix,6/20/1954,,http://en.wikipedia.org/wiki/1954_Belgian_Grand_Prix,Spa,Belgium,0,69,78,60
811,1953,4,13,Belgian Grand Prix,6/21/1953,,http://en.wikipedia.org/wiki/1953_Belgian_Grand_Prix,Spa,Belgium,0.17,73,86,59
819,1952,3,13,Belgian Grand Prix,6/22/1952,,http://en.wikipedia.org/wiki/1952_Belgian_Grand_Prix,Spa,Belgium,0.03,60,65,55
827,1951,3,13,Belgian Grand Prix,6/17/1951,,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix,Spa,Belgium,0,67,80,54
837,1950,5,13,Belgian Grand Prix,6/18/1950,,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix,Spa,Belgium,0,63,72,54
852,2011,12,13,Belgian Grand Prix,8/28/2011,12:00:00,http://en.wikipedia.org/wiki/2011_Belgian_Grand_Prix,Spa,Belgium,0.12,57,63,51
871,2012,12,13,Belgian Grand Prix,9/2/2012,12:00:00,http://en.wikipedia.org/wiki/2012_Belgian_Grand_Prix,Spa,Belgium,0,61,70,51
891,2013,11,13,Belgian Grand Prix,8/25/2013,12:00:00,http://en.wikipedia.org/wiki/2013_Belgian_Grand_Prix,Spa,Belgium,0,62,71,55
911,2014,12,13,Belgian Grand Prix,8/24/2014,12:00:00,http://en.wikipedia.org/wiki/2014_Belgian_Grand_Prix,Spa,Belgium,0.01,57,67,48
937,2015,11,13,Belgian Grand Prix,8/23/2015,12:00:00,http://en.wikipedia.org/wiki/2015_Belgian_Grand_Prix,Spa,Belgium,0,60,70,50
960,2016,13,13,Belgian Grand Prix,8/28/2016,12:00:00,https://en.wikipedia.org/wiki/2016_Belgian_Grand_Prix,Spa,Belgium,0,70,76,63
980,2017,12,13,Belgian Grand Prix,8/27/2017,12:00:00,https://en.wikipedia.org/wiki/2017_Belgian_Grand_Prix,Spa,Belgium,0,69,77,62
1001,2018,13,13,Belgian Grand Prix,8/26/2018,12:00:00,http://en.wikipedia.org/wiki/2018_Belgian_Grand_Prix,Spa,Belgium,0,58,65,48
356,1989,1,36,Brazilian Grand Prix,3/26/1989,,http://en.wikipedia.org/wiki/1989_Brazilian_Grand_Prix,Rio de Janeiro,Brazil,0,76,86,65
372,1988,1,36,Brazilian Grand Prix,4/3/1988,,http://en.wikipedia.org/wiki/1988_Brazilian_Grand_Prix,Rio de Janeiro,Brazil,0.39,76,86,65
388,1987,1,36,Brazilian Grand Prix,4/12/1987,,http://en.wikipedia.org/wiki/1987_Brazilian_Grand_Prix,Rio de Janeiro,Brazil,0,76,86,65
404,1986,1,36,Brazilian Grand Prix,3/23/1986,,http://en.wikipedia.org/wiki/1986_Brazilian_Grand_Prix,Rio de Janeiro,Brazil,0,76,86,65
420,1985,1,36,Brazilian Grand Prix,4/7/1985,,http://en.wikipedia.org/wiki/1985_Brazilian_Grand_Prix,Rio de Janeiro,Brazil,0,76,86,65
436,1984,1,36,Brazilian Grand Prix,3/25/1984,,http://en.wikipedia.org/wiki/1984_Brazilian_Grand_Prix,Rio de Janeiro,Brazil,0,76,86,65
