STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-06,0.12,55
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-07,0,57
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-08,0,58
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-09,0.01,57
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-10,0,60
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-11,0,61
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-12,0.05,59
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-13,0,65
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-14,0,64
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-15,0,62
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-16,0,65
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-17,0,64
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-18,0.05,62
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-19,0.17,58
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-20,0.01,55
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-21,0.08,55
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-22,0,58
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-23,0,59
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-24,0,62
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-25,0,62
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-26,0.03,63
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-27,0.09,57
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-28,0.02,57
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-29,0.01,59
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-30,0.07,62
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-31,0.11,60
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-01,0.07,60
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-02,0.02,53
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-03,0.29,58
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-04,0,61
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-05,0,70
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-06,0,70
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-09-07,0,73
