raceId,driverId,CompletionStatus,alt,grid,trackType,average_lap_time,minimum_lap_time,year,PRCP,TAVG,isHistoric,oneHot_circuits_1,oneHot_circuits_2,oneHot_circuits_3,oneHot_circuits_4,oneHot_circuits_5,oneHot_circuits_6,alt_trans,PRCP_trans,normalized_minLapTime,normalized_avgLapTime
980,822,1,401,3,0,115892.63636363635,107721,2017,0.0,69.0,1,0,1,0,0,0,0,6.013715156042802,0.0,0.9779198425465625,-0.008035377830781478
980,825,1,401,12,0,117047.31818181818,109126,2017,0.0,69.0,1,0,1,0,0,0,0,6.013715156042802,0.0,0.9906748056343347,0.0018786901796210636
980,826,1,401,19,0,116653.63636363635,109708,2017,0.0,69.0,1,0,1,0,0,0,0,6.013715156042802,0.0,0.9959583561803016,-0.0014904204971804068
980,828,1,401,17,0,117102.97727272726,110775,2017,0.0,69.0,1,0,1,0,0,0,0,6.013715156042802,0.0,1.0056448655145742,0.0023541035618621546
980,830,0,401,5,0,111904.57142857145,111022,2017,0.0,69.0,1,0,1,0,0,0,0,6.013715156042802,0.0,1.0078871971036703,-0.04305312447756411
980,832,1,401,13,0,116415.15909090909,109709,2017,0.0,69.0,1,0,1,0,0,0,0,6.013715156042802,0.0,0.9959674344458446,-0.003536832205678527
980,835,1,401,14,0,116728.61363636365,109283,2017,0.0,69.0,1,0,1,0,0,0,0,6.013715156042802,0.0,0.9921000933245698,-0.0008478928387422251
980,836,0,401,18,0,131154.5,129424,2017,0.0,69.0,1,0,1,0,0,0,0,6.013715156042802,0.0,0.9956268236908814,0.11567642581765934
980,838,1,401,20,0,116815.86363636365,109907,2017,0.0,69.0,1,0,1,0,0,0,0,6.013715156042802,0.0,0.9977649310233384,-0.0001007117871665763
980,839,1,401,9,0,116385.77272727274,109721,2017,0.0,69.0,1,0,1,0,0,0,0,6.013715156042802,0.0,0.9960763736323593,-0.00378929136520964
980,840,1,401,15,0,116632.25,110543,2017,0.0,69.0,1,0,1,0,0,0,0,6.013715156042802,0.0,1.0035387079086218,-0.0016737694689474255
981,1,1,162,1,0,85515.32075471699,83488,2017,0.0,71.0,1,1,0,0,0,0,0,5.135798437050262,0.0,0.9778219194767959,-0.02301268025945435
981,4,0,162,19,0,88360.3,85871,2017,0.0,71.0,1,1,0,0,0,0,0,5.135798437050262,0.0,1.0057319141360668,0.00971454348441438
981,8,1,162,5,0,86648.94339622643,85054,2017,0.0,71.0,1,1,0,0,0,0,0,5.135798437050262,0.0,0.9961631077421833,-0.00984340810290725
981,13,1,162,7,0,86927.28301886794,85477,2017,0.0,71.0,1,1,0,0,0,0,0,5.135798437050262,0.0,1.001117336756397,-0.006636288476393615
981,20,1,162,6,0,86200.54716981133,83897,2017,0.0,71.0,1,1,0,0,0,0,0,5.135798437050262,0.0,0.9826121787364022,-0.015031704936060505
981,154,1,162,20,0,88384.32692307694,85020,2017,0.0,71.0,1,1,0,0,0,0,0,5.135798437050262,0.0,0.9957648954809935,0.009986426411134208
981,807,1,162,14,0,87782.90384615384,86131,2017,0.0,71.0,1,1,0,0,0,0,0,5.135798437050262,0.0,1.0087770667216356,0.0031585344038716247
981,815,1,162,10,0,86935.62264150943,84968,2017,0.0,71.0,1,1,0,0,0,0,0,5.135798437050262,0.0,0.9951558649638798,-0.006540355159091582
981,817,1,162,16,0,86276.35849056604,83361,2017,0.0,71.0,1,1,0,0,0,0,0,5.135798437050262,0.0,0.9763344795599989,-0.0141526153519022
981,822,1,162,4,0,85599.67924528301,83722,2017,0.0,71.0,1,1,0,0,0,0,0,5.135798437050262,0.0,0.9805625568038078,-0.02202669425705544
981,825,1,162,9,0,87713.61538461539,86037,2017,0.0,71.0,1,1,0,0,0,0,0,5.135798437050262,0.0,1.007676126940699,0.002368906604501852
